#cost time type
1.46 127 2
2.25 124 11
0.82 71 1
4.69 258 11
0.4 27 10
2.38 131 11
0.33 22 10
3.52 237 10
0.12 5 3
0 191 2
1.56 86 11
2.18 120 11
1.25 109 1
1.01 88 1
0.9 78 1
0.99 86 2
0.12 9 2
0.92 80 1
0.67 58 1
0.79 69 1
1.63 142 1
6.29 346 11
2.43 211 1
2.16 188 1
0.17 15 1
1.04 90 1
0.61 53 3
0.91 79 2
0.26 23 1
1.04 90 1
0.12 6 2
0.12 6 2
0.12 6 1
1.64 143 1
0.22 19 3
1.23 107 1
2.82 245 1
0.12 6 2
0.59 51 1
0.63 55 1
0.23 20 1
4.39 382 1
0.53 29 11
0.31 21 10
0.69 60 1
0.13 11 2
0.12 4 1
0.12 8 1
0.12 4 1
1.1 96 2
0.58 50 2
0.71 48 10
0.22 19 2
0.3 26 1
0.12 3 2
0.15 13 2
0.2 17 2
0.15 13 2
0.12 6 2
0.12 6 2
0.12 2 2
0.12 7 2
0.12 6 2
0.12 7 2
1.23 83 10
0.12 2 2
0.33 29 2
0.55 48 2
0.2 17 2
0.98 54 11
0.31 27 2
0.6 52 2
0.2 17 2
0.63 55 2
0.76 66 1
0.33 29 1
0.78 68 1
0.2 17 1
0.61 53 1
1.92 167 1
0.39 34 1
0.66 57 1
0.12 7 1
1.06 92 1
1.89 164 1
2.06 179 1
0.46 40 1
0.13 11 1
0.37 32 1
2.37 206 1
1.67 145 1
0.12 2 1
0.39 34 1
0.72 63 1
0.72 63 1
1.14 63 11
0.24 21 2
0.24 13 11
0.55 48 1
1.02 89 1
0.12 10 1
0.12 4 3
0.12 10 3
0.12 4 3
0.12 8 2
0.49 43 2
0.39 34 2
0.12 6 2
6.54 360 11
0.31 27 2
0.25 22 1
0.79 69 1
0.73 49 10
1.5 153 1
0.1 8 2
0.27 27 2
0.97 99 1
0.58 59 2
0.49 50 1
0.92 94 2
0.22 22 1
0 31 2
0.85 86 1
0.96 98 1
1.47 150 1
2.73 278 1
0.33 34 1
0.49 50 1
1 102 1
0.83 84 1
1.28 130 1
2.34 142 11
0.21 21 1
0.26 26 1
0.5 51 1
0.73 74 1
0.5 51 2
1.11 84 10
0.66 67 1
2.45 249 1
0.1 10 1
1.6 163 1
0.87 88 1
0.4 41 2
0.1 4 2
0.3 31 3
0.1 2 2
0.1 6 2
1.12 114 2
1.4 142 1
1.22 124 1
0.29 29 1
0.71 72 1
3.73 379 1
1.03 105 1
1.49 152 1
0.72 73 1
0.1 6 1
0.48 49 1
0.25 25 1
0.67 68 1
0.46 47 1
1.34 136 1
1.28 130 1
1.03 105 1
0.56 57 1
0.41 42 1
0.46 47 1
0.79 80 1
0.25 25 2
0.52 53 2
0.92 94 2
0.1 7 2
0.79 80 2
1.55 94 11
0.97 59 11
0.75 76 1
0.46 47 1
1.32 80 11
1.16 70 11
0.46 28 11
0.25 25 2
4.74 287 11
0.1 5 2
1.6 163 2
0.17 2 11
0.85 86 2
1.03 105 1
0.1 9 2
1.14 116 2
0.84 85 2
0.85 86 2
